id	title	device_name	similar_devices	about	network	company	locations	consumer_release	compatibility	price	connectivity	primary_applications	image_name	potential_workplace_benefits	power_source	componentry
161	Run-N-Read	Run-N-Read	"Qardio QardioCore,4iiii Viiiiva,HXM Smart,Sensible Baby Smart One,Withings Pulse"	"          The Run-N-Read is a device that allows the user to read comfortably on their tablets while walking or running. When running, the user will be moving up and down making it hard to read something that is stationary. This device measures how much the user moves and makes the text on the tablet move according to the movements of the user. This makes it much easier for the user to read the text. Furthermore, the device also measures the step count and calories burned. To change pages on the tablet, the user can tap on the surface of the Run-N-Read device."	http://www.weartrons.com/#product	Weartrons Labs	"Head,Chest"	Undisclosed	"iOS,Android"	No Announcement Yet	Bluetooth	Fitness	Run-n-Read.png?itok=6sp1RhL6	Productivity	Rechargeable Battery	Undisclosed
162	Samsung Gear	Galaxy Gear	"Samsung Gear 2,Samsung Gear 2 Neo,Omate TrueSmart Watch,Martian Watches,LG Lifeband Touch"	"          The Samsung Galaxy Gear is an Android-based SmartWatch that syncs with your mobile phone to achieve SmartPhone-like capabilities. The wearable watch can make and receive calls, display emails and texts, take pictures and record video. This technological device can also be controlled by voice commands using Samsung's S Voice feature. Formerly known as the Samsung Galaxy Gear. Galaxy"" was dropped from the product line when the Samsung Gear 2 was released."	"http://www.samsung.com/ca/consumer/mobile/galaxy-gear/galaxy-gear/SM-V7000ZKAXAC,https://www.facebook.com/samsung.galaxy.gear.smart.watch,https://twitter.com/GalaxyGearNews,http://www.youtube.com/user/SamsungGalaxyGear,https://plus.google.com/u/0/+Galaxygearforum/about"	Samsung	Wrist	Available Now	Android	$299.00 USD	Bluetooth	"Entertainment,Lifestyle"	Samsung%20Galaxy%20Gear.jpeg?itok=WeXA2Ti0	Communication	Rechargeable Battery	"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock"
163	Samsung Gear 2	Gear 2	"Samsung Gear,Samsung Gear 2 Neo,Omate TrueSmart Watch,Martian Watches,LG Lifeband Touch"	"          The Samsung Galaxy Gear 2 is a new version of the Galaxy Gear. This hi-tech smartwatch is sleeker than the previous one and has the camera mounted onto its face. Gear 2 only works on Samsung's Tizen operating system for now. This wearable device features an exercise and heart rate tracking system, a wireless music control system and the general capabilities of a smartphone (calendar, notifications etc). The interface is touch-sensitive and the user can press the Home button to access the customizable home screen, as well as the active S Voice."	"http://www.samsung.com/ca/consumer/mobile/galaxy-gear/,https://www.facebook.com/SamsungMobile,https://twitter.com/SamsungMobile,http://www.youtube.com/channel/UCaTmVFWCsAdfBdIrsD-hCSA"	Samsung	Wrist	Available Now	Tizen	$249.00 USD	Bluetooth	"Entertainment,Lifestyle"	samsung-galaxy-gear-neo.jpg?itok=35RFiBdO	Communication	Rechargeable Battery	"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock"
164	Samsung Gear 2 Neo	Gear 2 Neo	"Omate TrueSmart Watch,Samsung Gear,Samsung Gear 2,Neptune Pine,GOQii Activity Band"	"          The Samsung Gear 2 Neo is the second generation of the Samsung Gear which is a wearable device that has multiple functions such as accepting calls, messaging and listening to music. The Gear 2 Neo has lower processing power compared to the Gear 2 but both are an improvement on the old generation in terms of lightweight designs and added functions. One of the most noticeable improvements from the old generation is that the camera is equipped onto the main body of the watch instead of the strap. This wearable device offers personal fitness coaching in real-time and custom fitness routines. The Gear 2 Neo also has a standalone music player with Bluetooth headset so the user can listen to music without their smartphones."	"http://www.samsungmobilepress.com/2014/02/23/Gear-2-Neo,http://www.facebook.com/SamsungMobile,http://twitter.com/samsungmobile,http://youtube.com/samsungmobile,https://plus.google.com/+SamsungMobile"	Samsung	Wrist	Est April 2014	Android	No Announcement Yet	"Bluetooth,Cellular Network"	"Lifestyle,Fitness"	Samsung%20Gear%202%20Neo.png?itok=Og8P0kql	Communication	Rechargeable Battery	"OLED Display,Microphone,Accelerometer,Gyroscope,Audio Speaker,Pedometer,Video Camera,Photo Camera,Clock"
165	Samsung Gear Fit	Gear Fit	"Wellograph Watch,Adidas Smart Run,Mio Alpha,LG Lifeband Touch,Bionym Nymi Wristband"	"          The Samsung Gear Fit is a smart watch that allows the user to pick up calls, view fitness data and personalize themes. This wearable device includes changeable straps and customizable themes. It can record heart rate, steps count and distanced traveled. This technological device works with mobile apps and is compatible with a number of Galaxy smart phones, tablets and computers."	"http://www.samsung.com/global/microsite/gear/gearfit_features.html,https://www.facebook.com/SamsungMobile,https://twitter.com/SamsungMobile,http://www.youtube.com/user/samsungmobile,https://plus.google.com/+SamsungMobile/posts"	Samsung	Wrist	April 11th 2014	Android	No Announcement Yet	Bluetooth	"Lifestyle,Fitness"	samsung-gear-fit.png?itok=bA3NL25j	Communication	Rechargeable Battery	"Accelerometer,Gyroscope,Heart Rate Monitor,Touch Interface,Clock"
166	Sense Pro Dry Electrodes	Sense Pro	"BioPatch,Zio XT Patch,Somaxis MyoLink,Fitbug Orb  ,9Solutions IPCS Products"	"          The Sense Pro device is a pair of dry wearable electrodes that weigh only 19 grams each and do not require gel or adhesives. The accompanying software can compute excess post-exercise oxygen consumption (EPOC), speed/pace, distance, cadence, total steps and activity classification."	http://senseyourcore.com/Catalog/CatalogItem/1#sense-pro	SenseCore	Body (Anywhere)	Undisclosed	Undisclosed	No Announcement Yet	Undisclosed	"Medical,Fitness"	Sense%20Pro.png?itok=YUEogYQ2	Health	Undisclosed	"ECG Sensor,Respiratory Monitor,Accelerometer,Thermometer"
167	Sensible Baby Smart One	Smart One	"Qardio QardioCore,Withings Pulse,Run-N-Read,4iiii Viiiiva,HXM Smart"	"          The Smart One monitors the baby's sleeping position, temperature and movement. The wearable device has wireless connectivity with smart phones allowing the user to view the baby's activity data on their phones. There is an App on the smart phone that will alert the user of any sleeping changes for the baby."	"http://mysensiblebaby.com/,https://twitter.com/mysensiblebaby,https://www.facebook.com/mysensiblebaby"	Sensible Baby	Chest	Est. 2014	"iOS,Android"	$149.00 USD	WiFi	"Lifestyle,Medical"	Sensible-Baby.jpg?itok=bxo944RP	Health	Rechargeable Battery	Undisclosed
168	SensoGlove	SensoGlove	"Peregrine,BEARTek Bluetooth Gloves,I-limb Ultra,Fujitsu Glove-Style Wearable Device,ElectricFoxy Move"	"          The SensoGlove is a smart glove designed for golfers. The wearable device detects the intensity of grip pressure when holding the club or driver. A small display placed on the back of the golf club allows the user to see their grip intensity. Using a built-in computer and highly responsive sensor technology, the glove provides audio and visual feedback to the user. SensoGlove constantly analyses the data in real-time, allowing the users to know if they are holding the club too tightly or too lightly and adjust their grip."	http://sensoglove.com/	SensoGlove	Hand	Available Now	Windows	$89.00 USD	USB	Entertainment	sensoglove.png?itok=7D3Kh3Jl	Training	Disposable Battery	Textile Strain Sensor
169	Sentimoto	Sentimoto	"Amiigo Fitness Band,Basis B1,Seraphim Sense Angel Wristband,Epson Pulsense Watch,Jaybird Reign"	"          Sentimoto is a smart wearable watch that captures the users' physiological and environmental data, in order to determine their overall physical well-being. The information can then be used to improve the wearer's lifestyle. Sentimoto includes sensors that analyse heart rate, body temperature, activity level, room temperature and humidity.  The measurements can be viewed on mobile devices using the cloud analytic software."	"http://sentimoto.com/,https://twitter.com/sentimoto,https://facebook.com/sentimoto,https://plus.google.com/114700783992926580475"	Sentimoto	Wrist	Undisclosed	"Android,iOS"	No Announcement Yet	Bluetooth	"Fitness,Medical"	sentimoto.png?itok=pn2CCXQm	Health	Rechargeable Battery	"Accelerometer,Heart Rate Monitor,Thermometer,Hygrometer"
170	Seraphim Sense Angel Wristband	Angel	"Amiigo Fitness Band,GoBe Activity Monitor,iHealth Pulse Oximeter,The Dash by BRAGI LLC.,Sentimoto"	"          The Angel Wristband is an activity monitor with vital sign capabilities. It can measure pulse, blood oxygenation, acceleration, and skin temperature. It is designed to have a minimalist appearance and has no display. However, all the information on the wearable device is easily accessible and open to further development. The product is still in the early stages of development with no news of a prototype demonstration."	"http://www.angelsensor.com/,https://www.facebook.com/AngelWearableSensor,https://twitter.com/AngelSensor"	Seraphim Sense Ltd.	Wrist	Undisclosed	"iOS,Android"	No Announcement Yet	Bluetooth	"Fitness,Lifestyle,Medical"	bracelet.png?itok=x82iDQtA	Health	Rechargeable Battery	"Oximeter,Vibrator,Accelerometer,Heart Rate Monitor"
171	Sigmo	Sigmo	"Cuff,Qardio QardioArm,BodyMedia Link Armband,Be Bionic,FitBark Tracker"	"          Sigmo is a voice translator that can be worn around the neck, wrist, or attached to a belt. Sigmo is capable of translating over 25 different languages. By pressing the first button, the wearable device records the speech to then translates it into the user's native language. Sigmo requires a smartphone with a connection to the internet to work. The developing firm is working on providing the device with a downloaded database of vocabulary, so that Sigmo can operate offline. It comes in different colours and with accessories such as neck strap, wrist bracelet and carrying bag."	http://buysigmo.com/	Sigmo	"Neck,Arm,Wrist"	Undisclosed	"iOS,Android"	No Announcement Yet	Bluetooth	"Industrial,Lifestyle"	sigmo-translator.png?itok=Vffxlbz5	Communication	Rechargeable Battery	"Microphone,Button Interface"
172	Skully Helmets	Skully Helmets	"Optinvent Ora-S,Buhel Helmet Communication System,Buhel Speakgoggle,Google Glass,Buhel Speakglasses"	"          The Skully Helmet is a hi-tech motorcycle helmet that features a rear view camera, as well as navigation and connectivity to smart phones. The rear view camera has a 180 degree viewing angle which allow the user to view all blind spots while riding on the motorcycle. The GPS on the wearable device does not require cellular network from smartphone, it works individually by itself. Furthermore, Skully has voice control which allows the user to control functions on the smart phones such as music, text and calls."	"http://www.skullyhelmets.com,https://www.facebook.com/SkullyHelmets,https://twitter.com/skullyhelmets"	Skully Helmets	Head	Undisclosed	"iOS,Android,Blackberry,Windows Mobile"	No Announcement Yet	Bluetooth	"Lifestyle,Entertainment"	Skully%20Helmets.png?itok=p4ituA46	Safety	Rechargeable Battery	"Photo Camera,Video Camera,GPS"
173	SMI Eye Tracking Glasses	SMI Eye Tracking Glasses	"HC1 HeadSet Computer,Vuzix M100 Smart Glasses,Skully Helmets,Optinvent Ora-S,Google Glass"	"          The SMI Eye Tracking glasses is a hi-tech pair of glasses used to record what is in the user's field of vision. Using two cameras located on the rim of the glasses, the cameras capture the eye movements, map the gaze point and embed it into the video. This wearable device has two streaming options: mobile or computer. The mobile option allows the user to view the live feedback directly from a smartphone, and the computer option features real-time streaming and live synchronization with mobile EEG data (EEG sensor provided as an add-on)."	"http://www.eyetracking-glasses.com/,http://www.youtube.com/user/smieyetracking,http://www.facebook.com/pages/SensoMotoric-Instruments-SMI/149347938511099?sk=wall,http://www.twitter.com/smieyetracking/"	SensoMotoric Instrument	Head	No Announcement Yet	"Windows,Android"	No Announcement Yet	WiFi	Lifestyle	smi-eye-tracker_0.png?itok=mtiBt3V6	Productivity	Rechargeable Battery	"Video Camera,Photo Camera,Microphone"
174	Somaxis MyoLink	MyoLink	"Zio XT Patch,Sense Pro Dry Electrodes,BioPatch,Imec EEG Headset,Fitbug Orb  "	          The Myolink monitors the muscle activity of the arm for health and fitness purposes. This wearable device has an EMG electrode that hooks up to the arm and measures the electric signal from the muscles. These measurements are wirelessly sent to the computer for analyzing and viewing.	http://somaxis.com/	Somaxis	Body (Anywhere)	Undisclosed	"iOS,Android"	$99.00 USD	Bluetooth	"Medical,Lifestyle"	Somaxis.png?itok=gFOleq8B	Health	Disposable Battery	"EEG Sensor,EMG Sensor,ECG Sensor"
175	Sonostar SmartWatch	SmartWatch	"ZTE BlueWatch,Agent Smartwatch,Pebble Steel Smartwatch,Pebble Smartwatch,FashionTEQ Zazzi"	"          The Sonostar SmartWatch can view fitness activity, notifies the user of incoming messages and play music. This wearable device coordinates with the smart phone to alert the user of incoming text messages or emails and control music on the smart phone using the smartwatch. It can also view fitness activities such as duration, speed, distance and calories. Furthermore, the smart watch also features a find phone button that will help the user find their misplaced phone."	http://www.sonostar.com/	Sonostar	Wrist	Undisclosed	"iOS,Android"	No Announcement Yet	"USB,Bluetooth"	Lifestyle	buy01b.jpg?itok=FggN9zV8	Communication	Rechargeable Battery	"E-Paper Display,Touch Interface,Button Interface,Clock"
176	Sony Core	Core	"Jawbone Up,MOV Band,NZN Lit,Samsung Gear Fit,SpotNSave"	"          Sony Core is a wrist-worn waterproof wearable smart band with a built-in sensor, which records activity levels throughout the day. Core is screen-less (unlike most of other activity-tracker devices) and gathers information about the movements, photos and social media goings-on of the user, as well as the music listened to. It then sends the data to a smartphone's LifeLogger application that creates an automated journal."	"http://www.sonymobile.com/global-en/products/smartwear/,https://twitter.com/Sony,https://www.facebook.com/Sony?ref=br_rs,https://plus.google.com/107316151152900332757,http://www.youtube.com/user/sonyelectronics"	Sony	Wrist	Est. Q1 2014	Undisclosed	No Announcement Yet	"Bluetooth,USB"	"Lifestyle,Fitness"	Sony%20Core.png?itok=0NMoEGYT	Health	Rechargeable Battery	Undisclosed
177	Sony HMZ-T3W Personal 3D Viewer	HMZ-T3W Personal 3D Viewer	"Cinemizer OLED,InfinitEye Virtual Reality Display,Oculus Rift,Avegant Glyph,CastAR"	"          The Sony HMZ-T3W Personal 3D Viewer is an augmented-reality heads up display that works as a personal 3D viewer. This wearable device creates an immersive experience by projecting the image directly into the users' retina. Used to watch movies and play video games, they also come with a pair of headphone to drown out the background noise."	"http://store.sony.com/wearable-hdtv-2d-3d-virtual-7.1-surround-sound-zid27-HMZT3W/cat-27-catid-3D-Personal-Viewer,https://www.facebook.com/Sony?ref=ts&fref=ts,https://twitter.com/Sony,http://www.youtube.com/user/sonyelectronics,https://plus.google.com/+Sony/posts"	Sony	Head	Available Now	"Linux,OSX,Windows"	$999.99 USD	HDMI	"Entertainment,Gaming"	Sony%20HMZ-T3W%20Personal%203D%20Viewer_0.jpeg?itok=10m4PynG	Productivity	"External Source,Rechargeable Battery"	"Audio Speaker,OLED Display"
178	Sony SmartWatch	SmartWatch 2	"Sony SmartWatch 2,Neptune Pine,ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,Casio G-Shock GB-6900"	"          The Sony SmartWatch is a wrist-worn wearable device that can be compared to a smaller and more accessible version of a smartphone. Paired to Android, the SmartWatch allows a discreet, instant and hand-free access to messages, calls, social media etc. Its Fitness, Lifestyle and other Apps can be directly downloaded from Google Play."	"http://www.sonymobile.com/us/products/accessories/smartwatch-2-sw2/specifications/#tabs,https://www.facebook.com/sonymobileca,http://www.youtube.com/sonyxperiaCA,https://twitter.com/sonyxperiaCA,https://plus.google.com/s/sony%20"	Sony	Wrist	Available Now	Android	$98.99 USD	"USB,Bluetooth,NFC"	"Entertainment,Lifestyle"	Sony%20SmartWatch_0.png?itok=rjptidu7	Communication	Rechargeable Battery	"LCD Display,Touch Interface,Clock"
179	Sony SmartWatch 2	SmartWatch 2	"Sony SmartWatch,Neptune Pine,ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,MetaWatch Strata"	"          The Sony SmartWatch 2 is the successor to the original Sony SmartWatch and is a wrist-worn wearable device that can be compared to a smaller and more accessible version of a smartphone. Paired to Android, the SmartWatch 2 allows a discreet, instant and hand-free access to messages, calls, social media etc. Its Fitness, Lifestyle and other Apps can be directly downloaded from Google Play. Notable improvements from its predecessor include better build quality, higher screen resolution and NFC for more convenient Bluetooth pairing."	"http://store.sony.com/smartwatch-2-zid27-SW2ACT/cat-27-catid-Smart-Watch,https://www.facebook.com/Sony,https://twitter.com/Sony,http://www.youtube.com/user/sonyelectronics,http://www.pinterest.com/sonyelectronics/"	Sony	Wrist	Available Now	Android	$169.99 USD	"NFC,Bluetooth,USB"	Lifestyle	sonysmartwatch2trio.jpg?itok=pgpFRoBv	Communication	Rechargeable Battery	"LCD Display,Touch Interface,Clock"
180	SoundBite	SoundBite	"Aquapulse Heart Rate Monitor,Zinc Zen Sensor,OrCam,Buhel Helmet Communication System,Lark Pro Wristband"	"          The SoundBite is a unique wearable hearing aid designed to be worn on the inside of the mouth. The device consists of two pieces, one goes inside the mouth near the upper back teeth and the other goes on ear. The BTE (behind the ear) unit uses digital signal processing technology to process the sound and transmit the sound to the ITU ( In the mouth) piece. The mouthpiece contains a bone conduction speaker which converts the audio signal into vibrations allowing the user to hear the sound."	http://www.sonitusmedical.com/product/	Sonitus Medical Inc.	Ear	Undisclosed	Undisclosed	No Announcement Yet	WiFi	Medical	soundbite-hearing-system.png?itok=ql3jPRue	Communication	Rechargeable Battery	Bone Conduction Speaker
181	SpotNSave	SpotNSave	"Jawbone Up,ConnecteDevice Cogito Watch,ConnecteDevice Cookoo,NZN Lit,Sony Core"	"          SpotNSave is a wearable device worn on the wrist that helps keep track of the location of the user. It includes a SOS button that will alert other people of the user's location by sending them a text message. Equipped with real-time tracking, the guardians can view where the user is at any time. The user can also view where they have traveled in the past few days using the location history option. The device is only compatible with Android for now but developers are working on making it compatible with iOS and Windows Mobile devices."	"http://www.spotnsave.com/,https://www.facebook.com/spotandsave,https://twitter.com/spotNsave"	SpotNSave	Wrist	Preorder Only	Android	$37.99 USD	Bluetooth	Lifestyle	SpotNSave.png?itok=Hy9j45N8	Security	Rechargeable Battery	Undisclosed
182	Sqord PowerPod	PowerPod	"Adidas Smart Run,Mykronoz ZeWatch & ZeBracelet,Mykronoz ZeNano,PUSH Fitness Tracker,Pebble Smartwatch"	"          The Powerpod is a fitness device that keeps track of the intensity of duration of the movements. Targeted towards children, the Powerpod is easy to use and waterproof. This wearable device syncs online on the Sqord website and the data can be viewed once it has been uploaded. Powerpod has a long lasting battery which never has to be changed or recharged. The price is subscription based, at $3.99 USD per month or $33.50 per year."	"http://www.sqord.com,https://www.facebook.com/sqord,https://twitter.com/Sqord_Inc"	Sqord Inc	Wrist	Oct-13	"Android,iOS,Blackberry,Windows,Windows Mobile,OSX"	$33.50 USD	"Bluetooth,WiFi"	"Fitness,Lifestyle"	Sqord%20Smartwatch.png?itok=FUZWfgIq	Health	Disposable Battery	Accelerometer
183	Suunto Ambit	Ambit	"Recon Instruments Snow2,Garmin Forerunner GPS Heart Rate Watch,Recon Instruments Jet,Motorola Motoactv,O-Synce Screeneye X"	"          The Suunto Ambit is a smart device that works as a training and outdoor technology for athletes and explorers. Its built-in features include - but are not limited to - altimeter, barometer, integrated GPS and heart rate measuring tool. Additionally, +1,000 free sports apps makes the Ambit a great tool for performance, health and activity tracking. This wearable device is waterproof and can be used while swimming and snorkeling."	"http://www.suunto.com/en-CA/Products/sports-watches/Suunto-Ambit2/Suunto-Ambit2-Black-HR/?categoryId=3,http://www.youtube.com/user/MovesCountbySuunto/,https://twitter.com/Suunto_Moves,https://www.facebook.com/Suunto,https://plus.google.com/101596257821481543738/posts"	Suunto	Wrist	Available Now	"Windows,OSX"	$500.00 USD	"USB,ANT+"	"Fitness,Lifestyle"	Suunto%20Ambit_0.png?itok=h10aQJz-	Health	Rechargeable Battery	"Barometer,Magnetometer,GPS,LCD Display,Clock,Thermometer,Button Interface"
184	sWaP Watches	"Active, Signature, Rebel"	"Omate TrueSmart Watch,Mykronoz ZeNano,Mykronoz ZeWatch & ZeBracelet,Neptune Pine,Samsung Gear 2 Neo"	"          The sWaP Watches' Active, Signature and Rebel models are everyday wearable devices that aim at facilitating real-time communication. Phones' features such as Bluetooth, audio, voice recognition, video and camera are available when a sim card is inserted in the Watch. Additionally, the touch screen display makes the sWaP Watches easy to use. Active, Signature and Rebel differ in weight, dimensions, GSM talk-time, GSM display and standard battery. Prices ranges from £99.99 for the Classic to £349.99 for the Signature."	"http://www.s-w-a-p.co.uk/models/swap-rebel/,https://www.facebook.com/sWaPWorld,https://twitter.com/sWaP_World#,http://www.youtube.com/user/swapphone?feature=mhum#p/a/f/0/O6lNRE8nEYQ"	sWaP	Wrist	Available Now	"Linux,Windows,OSX"	£99.99 GBP	"Bluetooth,USB,Cellular Network"	"Entertainment,Lifestyle"	sWaP%20Watches_0.jpg?itok=xe5VrP70	Communication	Disposable Battery	"Audio Speaker,Clock,FM Tuner,Touch Interface,Video Camera,LCD Display"
185	T.Ware T.Jacket	T.Jacket	"Nuubo nECG Minder,OMsignal,Duo Fertility ,Preventice BodyGuardian,Rest Devices Mimo"	"          The T. Ware T. Jacket is an intelligent jacket that reproduces dynamic pressure to simulate hugs. This wearable device is generally used in childcare, to soothe and comfort autistic children even when direct contact is not possible. The system is remotely controlled via a smartphone's application, which can also be used by parents or caregivers to track children's level of activity and response to the T. Jacket."	"http://www.mytjacket.com/,https://twitter.com/MyTWare,https://www.facebook.com/TJacket.U,https://plus.google.com/101055229520454570924/posts,http://www.youtube.com/user/TJacketVideo"	T.Ware	Torso	Available Now	iOS	$729.00 USD	Bluetooth	"Medical,Lifestyle"	T.Ware%20T.Jacket_0.jpg?itok=0oEaOLTW		Undisclosed	Undisclosed
186	Tagg Pet Tracker	Tagg	"Narrative Clip,Cuff,FitBark Tracker,Voyce Dog Monitor,OMG Autographer"	"          Tagg is a pet-tracking system and activity monitor developed by Snaptracs Inc. This wearable device has a GPS tracker, which sends the owner a notification if the pet gets lost or walks outside of the preset zone. Also, the activity tracker monitors the pet's activity levels by measuring distance traveled and counting steps. In addition, the Tagg is also waterproof and very durable."	"http://www.pettracker.com/pet-products/pet-gps-tracker,https://twitter.com/taggtracker,http://www.facebook.com/taggthepettracker,http://www.youtube.com/taggthepettracker"	Snaptracs Inc.	Neck	Available Now	"Android,iOS,Windows,OSX"	$99.95 USD	Undisclosed	Lifestyle	Tagg.png?itok=KEPzaO2c		Rechargeable Battery	"GPS,Accelerometer"
187	Tarsier MoveEye	MoveEye	"Intelligent Headset,GlassUp,Emotiv Neuroheadset,NTT Docomo AR Walker,SMI Eye Tracking Glasses"	"          The Tarsier MoveEye device allow the user to interact with Smart TVs using natural hand gestures. This new wearable technology allows the user to control their TVs without using remote controls. Using the hand gestures, the user can also play games on Smart TVs or control a mouse."	"http://www.tarsierinc.com/#!moveeye/c1vxk,http://www.youtube.com/user/TarsierInc,https://twitter.com/TarsierInc,https://www.facebook.com/pages/Tarsier-Inc/105520902883566"	Tarsier	Head	Est. November 2014	Android	$300.00 USD	WiFi	"Entertainment,Lifestyle,Gaming"	79740_550x226.jpg?itok=v46pYLeQ	Productivity	Rechargeable Battery	Undisclosed
188	Taser Axon Flex	Axon Flex	"Narrative Clip,OMG Autographer,Lumo Lift,Tagg Pet Tracker,FitBark Tracker"	"          The Taser Axon Flex is a wearable Point of View (POV) recording device. It is typically mounted to a pair of safety glasses, headband, helmet, cap, epaulette, or collar . This device is geared towards law enforcement and comes with an automated workflow system and charging station for multiple devices. The Axon Flex also comes with a privacy function to disable audio and video recording. As long as the privacy function is not enabled, the Axon Flex is continuously buffering video so that when the event button is pressed, the previous 30 seconds of footage is automatically included in the evidence recording. Studies have shown a significant reduction of complaints, use of force and a significant increase in officer exoneration."	"http://www.taser.com/flex,https://www.facebook.com/TASER.International,https://twitter.com/OfficialTASER,http://www.youtube.com/taserinternational1,https://plus.google.com/+taserinternational/posts"	Taser	"Head,Neck,Shoulders,Torso"	Available Now	"Android,iOS,OSX,Windows"	$499.00 USD	Bluetooth	Lifestyle	Taser%20Axon%20Flex_0.png?itok=f5OL7B2f	Safety	Rechargeable Battery	Video Camera
189	Thalmic Labs MYO Armband	MYO Armband	"Be Bionic,Qardio QardioArm,BodyMedia Link Armband,Metria IH1,Sigmo"	"          The Thalmic Labs MYO Armband is a gesture control device that uses arm and hand movements to operate. The wearable device is capable of controlling devices running on Microsoft, Mac, iOS and Android operating systems. By using gesture control, the user can interact with a number of other electronics, hands-free."	"https://www.thalmic.com/en/myo/faq/,https://twitter.com/thalmic,https://www.facebook.com/thalmic,http://www.youtube.com/user/ThalmicLabs,https://plus.google.com/+Thalmic/posts"	Thalmic Labs	Arm	Est. Q2 2014	"Android,iOS,OSX,Windows"	$149.00 USD	"Bluetooth,USB"	"Entertainment,Gaming,Lifestyle"	Thalmic%20Labs%20MYO%20Wristband.jpg?itok=TOz3YV-0	Productivity	Rechargeable Battery	"Accelerometer,Gyroscope,Magnetometer,EMG Sensor,Gesture Interface"
190	The Dash by BRAGI LLC.	The Dash	"Amiigo Fitness Band,Seraphim Sense Angel Wristband,Atlas Fitness Tracker,Buhel Speakglasses,LG Heart Rate Earphones"	"          The Dash by BRAGI LLC. is a pair of smart Bluetooth earphones. While providing an exceptional audio experience to the user, they also analyse activity levels via step count, oxygen saturation of the blood and heart-rate monitoring. The earphones' bone-conduction microphone allows the user to communicate with others regardless of the ambient noise. Coupled to a smartphone application, the wearable device also tracks fitness performance and gives real-time feedback to the user."	"http://www.bragi.com/,https://www.facebook.com/hellobragi,https://twitter.com/hellobragi,http://www.youtube.com/channel/UCjYhGJ1VzyeQXK4HA68I0uQ?feature=watch"	BRAGI LLC.	Head	Undisclosed	"iOS,Android"	$179.00 USD	Bluetooth	"Fitness,Lifestyle,Medical"	1-the-dash-wireless-smart-in-ear-headphones-by-bragi.jpg?itok=a3FzjWmm	Communication	Rechargeable Battery	"Infrared Sensor,Thermometer,Bone Conduction Mic,Accelerometer,Touch Interface,LED Display,Audio Speaker,Oximeter,Heart Rate Monitor"
191	Theatro 	Theatro	"eLocator Checkpoint,LUMO Back,Proteus Helius,Game Golf,iHealth Activity And Sleep Tracker"	"          Theatro is a wearable device designed for retail employees, which enables them to communicate effectively with one another. Theatro requires WiFi to work, and it is controlled by voice commands. The device allows one- to-one conversations or group conversations. It also includes an analytic solution that provides retail managers and employees with a productivity check, by collecting social interaction data."	http://www.theatro.com/sites/default/files/Product%20Files/datasheet_wearablecomputerforretail-2.pdf	Theatro	Waist	Undisclosed	"iOS,Android"	No Announcement Yet	WiFi	Industrial	theatro_communicator.png?itok=mM2ZC4O9	Cost Reduction	Rechargeable Battery	"Undisclosed,Microphone,Audio Speaker,Button Interface"
192	Thumb Track	Thumb Track	"Fin Thumbring,Geak Ring,Ringblingz Ring,ElectricFoxy Pulse,Logbar Ring"	"          The Thumb Track is a wearable smart mouse designed to perform all mouse features with ease, and eliminating the risk of pain and injury to the wrist. The thumb track can reduce fatigue and discomfort while eliminating time spent on the mouse. This technological device has a very simple operation: there is a on/off button, a select button which acts as left click on the mouse and a scroll for vertical navigation. To navigate using Thumb Track, the users slide their thumb over the tracking area of the mouse."	http://www.indiegogo.com/projects/thumbtrack-the-world-s-smallest-wearable-mouse--2	Thumb Track	Fingers	Available Now	"Windows,OSX"	$99.00 USD	"USB,Bluetooth"	Lifestyle	Thumb%20Track_0.png?itok=MbZqRMqT	Productivity	Rechargeable Battery	"Button Interface,Undisclosed"
193	TN Games 3RD Space Vest	3RD Space Vest	"Duo Fertility ,Nuubo nECG Minder,T.Ware T.Jacket,Rest Devices Mimo,Xybermind Achillex"	"          The TN Games 3RD Space Vest is a haptic wearable suit designed to augment video games' reality. Eight contact points"" are located on the vest"	"http://tngames.com/products,https://www.facebook.com/tngames,https://twitter.com/T_N_games,http://www.youtube.com/user/OblivianGamers,https://plus.google.com/102192331748807820126/about"	TN Games	Torso	Nov-07	Windows	$139.00 USD	USB	Gaming	TN%20Games%203RD%20Space%20Vest_0.jpg?itok=_834WTMq	Training	External Source	Undisclosed
194	Trax GPS Tracker	Trax	"HereO,PFO Safety Bracelet,Filip Smartwatch,Zypad WL1500,Omate TrueSmart Watch"		"http://www.traxfamily.com/,www.facebook.com/traxfamily.com,https://twitter.com/Trax4youTeam"	Wonder Technology Solutions	"Lifestyle,Pets Animals"	Est. March 2014	"Android,iOS,Windows"	%u20AC199.00 EUR	Cellular Network		Trax%20Tracker.png?itok=2tzWcvIt	Safety	Rechargeable Battery	"Accelerometer,Gyroscope,Magnetometer,GPS"
